Acacia auriculiformis,TREE
Albizia julibrissin,TREE
Albizia lebbeck,TREE
Alstonia scholaris,TREE
Anthocephalus kadamba,TREE
Araucaria cookii,TREE
Azadirachta indica,TREE
Barringtonia asiatica,TREE
Bauhinia acuminata,TREE
Bauhinia alba,TREE
Bauhinia blakeana,TREE
Bauhinia purpurea,TREE
Bauhinia tomentosa,TREE
Bauhinia variegata,TREE
Bombax ceiba,TREE
Bombax malbaricum,TREE
Butea monosperma,TREE
Callistemon lanceolatus,TREE
Callistemon citrinus,TREE
Cassia angustifolia,TREE
Cassia auriculata,TREE
Cassia biflora,TREE
Cassia fistula,TREE
CASSIA javanica,TREE
Cassia grandis,TREE
Cassia siamea,TREE
Ceiba pentandra,TREE
Chorisia speciosa,TREE
Cordia sebestena,TREE
Cordia monoica,TREE
Couroupita guianensis,TREE
Cupressus sempervirens,TREE
Dalbergia sissoo,TREE
Delonix elata,TREE
Delonix regia,TREE
Dillenia indica,TREE
Erythrina blakei,TREE
Erythrina crista galli,TREE
Erythrina variegata,TREE
Erythrina stricta,TREE
Erythrina indica,TREE
Eucalyptus globulus,TREE
Ficus benghalensis,TREE
Ficus benjamina,TREE
Ficus compacta,TREE
Ficus infectoria,TREE
Ficus lyrata,TREE
Ficus nuda,TREE
Ficus religiosa,TREE
Ficus retusa,TREE
Filicium decipiens,TREE
Grevillea robusta,TREE
Jacaranda mimosifolia,TREE
Kigelia pinnata,TREE
Lagerstroemia flos reginae,TREE
Lagerstroemia speciosa,TREE
Lagerstroemia thorelli,TREE
Madhuca longifolia,TREE
Mesua ferrea,TREE
Michelia champaca,TREE
Millettia ovalifolia,TREE
Millingtonia hortensis,TREE
Mimusops elengi,TREE
Morus nigra,TREE
Nyctanthes arbortristis,TREE
Olea europaea,TREE
Parkinsonia aculeata,TREE
PELTOPHORUM pterocarpum ,TREE
Plumeria singaporensis,TREE
Plumeria pudica,TREE
Plumeria rosea,TREE
Plumeria acutifolia,TREE
Plumeria rubra,TREE
Plumeria alba,TREE
Polyalthia longifolia,TREE
Polyalthia malabarica,TREE
Polyalthia cauliflora,TREE
Pongamia glabra,TREE
Populus tremuloides,TREE
Putranjiva roxburghii,TREE
Salix babylonica,TREE
SALIX alba,TREE
Samanea saman,TREE
Saraca indica,TREE
Sapindus emarginatus,TREE
Senna spectabilis,TREE
Spathodea campanulata,TREE
Salvadora persica,TREE
Tabebuia argentea,TREE
Tabebuia impetiginosa,TREE
Tabebuia rosea,TREE
Tabebuia avellanedae,TREE
Tamarindus indica,TREE
Tectona grandis,TREE
Tectona species,TREE
Terminalia arjuna,TREE
Terminalia catappa,TREE
Terminalia mantaly,TREE
Terminalia mantaly variegata,TREE
Thespesia populnea,TREE
Thuja compacta,TREE
Thuja orientalis,TREE
Thuja occidentalis,TREE
Khaya senegalensis,TREE
Cerbera odollam,TREE
Laurus nobilis,TREE
Terminalia chebula,TREE
Terminalia bellerica,TREE
Swietenia mahagoni,TREE
Brachychiton acerifolius,TREE
Magnolia grandiflora,TREE
Magnolia pterocarpa,TREE
Ficus racemosa,TREE
Cinnamomum zeylanicum,TREE
115,EXCOECORIA BICOLOR  
116,EXCOECORIA BICOLOR VARIEGATA  
117,FICUS BENJ BLACK COMPACTA 
118,FICUS BENJAMINA BLACK COMPACTA  
119,FICUS NITIDA  
120,FICUS REGINALD  
121,FICUS STARLIG  
122,FORTUNELLA  JAPONICA  
123,GALPHIMIA GRACILIS     
124,GALPHIMIA GRACILIS   
125,GARDENIA JASMINOIDES  
126,GARDENIA JASMINOIDES FORTINIANA  
127,GARDENIA JASMINOIDES VEITCHI  
128,GARDENIA RADICANS  
129,GMELINA ASIATICA  
130,GRAPTOPHYLLOM PICTUM  
131,GRAPTOPHYLLOM PICTUM TRICOLOR  
132,HAMELIA PATENS  
133,HAMILTONIA SUAVEOLENS  
134,HIBISCUS COLLINUS  
135,HIBISCUS MUTABILIS  
136,HIBISCUS ROSASINENSIS AUSTRALIAN ROSE  
137,HIBISCUS ROSASINENSIS COOPERI  
138,HIBISCUS ROSASINENSIS DAFFODIL  
139,HIBISCUS ROSASINENSIS DEEP ROSE SOUNDARAYA  
140,HIBISCUS ROSASINENSIS DELIG  
141,HIBISCUS ROSASINENSIS  MAITY  
142,HIBISCUS ROSASINENSIS HAWAII WHITE  
143,HIBISCUS ROSASINENSIS JUNO  
144,HIBISCUS ROSASINENSIS KALI JABA  
145,HIBISCUS ROSASINENSIS KALYANI  
146,HIBISCUS ROSASINENSIS ORANGE GLORY  
147,HIBISCUS ROSASINENSIS PERCY  
148,HIBISCUS ROSASINENSIS PROLIFIC  
149,HIBISCUS ROSASINENSIS RED SATIN  
150,HIBISCUS ROSASINENSIS SNOW FLAKE  
151,HIBISCUS SYRIACUS  
152,HYDRANGEA MACROPHYLLA ALTONA  
153,HYDRANGEA MACROPHYLLA WHITE WAVE  
154,IPOMEA BILOBA  
155,IPOMEA CARNEA  
156,IRESINE HERBSTII  
157,IXORA CHINENSIS  
158,IXORA CHINENSIS NANA LUTEA  
159,IXORA CHINENSIS NANA PINK  
160,IXORA CHINENSIS ROSEA  
161,IXORA COCCINEA  
162,IXORA DUFFII  
163,IXORA HYBRIDA  
164,IXORA LUTEA  
165,IXORA MACROTHYRSA  
166,IXORA SINGAPORENSIS  
